Index,Width,Length,Treatment,Genotype,Plant,Repeat
21,4.122008,16.597152,UV,Col-0,4,2
22,3.75224,9.724824,UV,Col-0,4,2
23,3.051392,11.02484,UV,Col-0,4,2
24,2.770656,13.008592,Predawn,blus1-3,3,2
25,3.8998,20.395768,Predawn,blus1-3,3,2
26,2.825216,15.200168,Predawn,blus1-3,3,2
27,2.615904,15.794376,Predawn,blus1-3,3,2
28,4.407456,12.745712,Predawn,blus1-3,3,2
29,4.368024,16.676016,Predawn,blus1-3,3,2
30,4.041904,14.781048,Predawn,blus1-3,3,2
31,3.207384,19.583072,Predawn,blus1-3,3,2
32,3.526808,10.952424,Predawn,blus1-3,3,2
33,3.983872,16.114544,Predawn,blus1-3,3,2
34,2.162312,14.507504,Predawn,blus1-3,3,2
35,4.521288,12.073384,Predawn,blus1-3,3,2
36,3.421904,12.51656,Predawn,blus1-3,4,2
37,3.075448,12.288896,Predawn,blus1-3,4,2
38,2.542248,6.2,Predawn,blus1-3,4,2
39,1.266536,9.252384,Predawn,blus1-3,4,2
40,3.052136,11.44024,Predawn,blus1-3,4,2
41,4.353392,15.31276,Predawn,blus1-3,4,2
42,6.421712,13.365464,Predawn,blus1-3,4,2
43,3.335104,7.028072,Predawn,blus1-3,4,2
44,2.82348,11.724448,Predawn,blus1-3,4,2
45,3.679576,9.156904,Predawn,blus1-3,4,2
46,4.606104,13.698776,Predawn,blus1-3,4,2
47,2.414776,11.111144,Predawn,blus1-3,4,2
0,2.2506,14.52164,UV,blus1-3,1,2
1,1.7298,12.127696,UV,blus1-3,1,2
2,4.249728,11.501992,UV,blus1-3,1,2
3,1.596624,15.832568,UV,blus1-3,1,2
4,2.691792,13.64744,UV,blus1-3,1,2
5,1.696072,11.438256,UV,blus1-3,1,2
6,4.20112,13.335456,UV,blus1-3,1,2
7,3.663704,10.45444,UV,blus1-3,1,2
8,2.813312,17.208968,UV,blus1-3,1,2
9,2.699728,12.382888,UV,blus1-3,1,2
10,4.548568,10.812304,UV,blus1-3,1,2
11,2.77636,10.282576,UV,blus1-3,1,2
12,1.922496,9.77864,Predawn,Col-0,4,2
13,0.68696,10.512472,Predawn,Col-0,4,2
14,1.401944,11.245808,Predawn,Col-0,4,2
15,1.539088,9.487984,Predawn,Col-0,4,2
16,2.199016,9.139296,Predawn,Col-0,4,2
17,1.588192,6.366904,Predawn,Col-0,4,2
18,0.65348,16.960224,Predawn,Col-0,4,2
19,2.015,10.25604,Predawn,Col-0,4,2
20,1.343416,11.924088,Predawn,Col-0,4,2
21,1.409136,12.025768,Predawn,Col-0,4,2
22,0.994232,10.258768,Predawn,Col-0,4,2
23,1.47312,11.862584,Predawn,Col-0,4,2
48,1.358792,11.244816,Predawn,blus1-3,2,2
49,1.876616,11.6064,Predawn,blus1-3,2,2
50,2.656824,11.869032,Predawn,blus1-3,2,2
51,3.866816,10.87108,Predawn,blus1-3,2,2
52,4.032728,8.94164,Predawn,blus1-3,2,2
53,2.356744,9.641744,Predawn,blus1-3,2,2
54,1.719384,6.839592,Predawn,blus1-3,2,2
55,1.912328,12.2574,Predawn,blus1-3,2,2
56,2.600032,10.782048,Predawn,blus1-3,2,2
57,2.225304,8.444152,Predawn,blus1-3,2,2
