Index,Width,Length,Time,Treatment,Age,Plant
525,3.752,33.978,120mins,UV,Mature,2
526,5.776,37.008,120mins,UV,Mature,2
527,5.457,31.339,240mins,WL,Mature,3
528,5.076,40.8,240mins,WL,Mature,3
529,9.396,39.279,240mins,WL,Mature,3
530,2.034,32.867,240mins,WL,Mature,3
531,4.476,27.609,240mins,WL,Mature,3
532,5.891,23.741,240mins,WL,Mature,3
533,7.846,30.972,240mins,WL,Mature,3
534,7.315,28.278,240mins,WL,Mature,3
535,3.986,29.033,240mins,WL,Mature,3
536,7.701,36.195,240mins,WL,Mature,3
537,6.637,30.865,240mins,WL,Mature,3
538,3.545,28.941,240mins,WL,Mature,3
539,10.399,45.861,360mins,FR,Cot,1
540,13.344,35.145,360mins,FR,Cot,1
541,14.252,43.166,360mins,FR,Cot,1
542,12.273,28.463,360mins,FR,Cot,1
543,6.013,39.35,360mins,FR,Cot,1
544,9.241,46.943,360mins,FR,Cot,1
545,7.694,40.349,360mins,FR,Cot,1
546,5.099,37.402,360mins,FR,Cot,1
547,10.008,38.149,360mins,FR,Cot,1
548,5.381,40.502,360mins,FR,Cot,1
549,8.772,28.282,360mins,FR,Cot,1
550,5.668,32.203,360mins,FR,Cot,1
551,14.758,36.418,360mins,UV,Cot,2
552,7.904,39.384,360mins,UV,Cot,2
553,12.471,38.982,360mins,UV,Cot,2
554,14.589,46.155,360mins,UV,Cot,2
555,10.901,32.975,360mins,UV,Cot,2
556,10.269,29.538,360mins,UV,Cot,2
557,10.18,33.542,360mins,UV,Cot,2
558,7.337,28.343,360mins,UV,Cot,2
559,12.478,37.725,360mins,UV,Cot,2
560,9.274,22.715,360mins,UV,Cot,2
561,12.248,33.569,360mins,UV,Cot,2
562,5.778,28.626,360mins,UV,Cot,2
563,6.175,30.64,0mins,Predawn,Mature,3
564,2.465,33.213,0mins,Predawn,Mature,3
565,3.171,33.168,0mins,Predawn,Mature,3
566,2.838,26.513,0mins,Predawn,Mature,3
567,2.242,33.133,0mins,Predawn,Mature,3
568,3.366,22.739,0mins,Predawn,Mature,3
569,2.369,30.542,0mins,Predawn,Mature,3
570,1.741,35.88,0mins,Predawn,Mature,3
571,2.687,33.965,0mins,Predawn,Mature,3
572,3.579,30.547,0mins,Predawn,Mature,3
573,2.918,28.626,0mins,Predawn,Mature,3
574,1.777,38.936,0mins,Predawn,Mature,3
575,11.753,29.632,240mins,WL,Cot,1
576,15.158,34.772,240mins,WL,Cot,1
577,17.679,57.52,240mins,WL,Cot,1
578,7.708,43.169,240mins,WL,Cot,1
579,10.308,40.476,240mins,WL,Cot,1
580,8.902,52.451,240mins,WL,Cot,1
581,9.77,33.997,240mins,WL,Cot,1
582,12.763,38.442,240mins,WL,Cot,1
583,13.542,44.753,240mins,WL,Cot,1
584,7.315,43.7,240mins,WL,Cot,1
585,11.506,34.295,240mins,WL,Cot,1
586,7.538,45.255,240mins,WL,Cot,1
587,12.128,30.388,240mins,UV,Cot,1
588,4.649,34.118,240mins,UV,Cot,1
589,2.693,44.228,240mins,UV,Cot,1
590,3.25,48,240mins,UV,Cot,1
591,7.517,42.464,240mins,UV,Cot,1
592,5.076,37.113,240mins,UV,Cot,1
593,5.039,31.307,240mins,UV,Cot,1
594,7.954,34.847,240mins,UV,Cot,1
595,7.904,29.407,240mins,UV,Cot,1
596,7.334,23.817,240mins,UV,Cot,1
